"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"84","TLM017","SPEI",1994-05-26,"TLM",5,66.5,44.9,NA,0,0,0,NA,"1994"
"85","TLM017","SPEI",1994-05-26,"TLM",6,70,44.9,NA,0,0,0,NA,"1994"
"86","ADS003","SPEI",1994-05-26,"ADS",1,69.1,46.1,NA,0,0,0,NA,"1994"
"87","ADS003","SPEI",1994-05-26,"ADS",2,67.5,46,NA,0,0,0,NA,"1994"
"88","ADS003","SPEI",1994-05-26,"ADS",3,67.1,46.4,NA,0,0,0,NA,"1994"
"89","ADS003","SPEI",1994-05-26,"ADS",4,71,46.1,NA,0,0,0,NA,"1994"
"90","ADS003","SPEI",1994-05-26,"ADS",5,70,46,NA,0,0,0,NA,"1994"
"91","ADS003","SPEI",1994-05-26,"ADS",6,70,45.3,NA,0,0,0,NA,"1994"
"92","ADS004","SPEI",1994-05-26,"ADS",1,69.1,47.2,NA,0,0,0,NA,"1994"
"93","ADS004","SPEI",1994-05-26,"ADS",2,71.1,46.6,NA,0,0,0,NA,"1994"
"94","ADS004","SPEI",1994-05-26,"ADS",3,69.4,47.1,NA,0,0,0,NA,"1994"
"95","ADS004","SPEI",1994-05-26,"ADS",4,69,47.9,NA,0,0,0,NA,"1994"
"96","ADS004","SPEI",1994-05-26,"ADS",5,73.1,45.5,NA,0,0,0,NA,"1994"
"97","ADS004","SPEI",1994-05-26,"ADS",6,69.1,46.6,NA,0,0,0,NA,"1994"
"98","ADS005","COEI",1994-05-26,"ADS",1,78.4,50.4,NA,0,0,0,NA,"1994"
"99","ADS005","COEI",1994-05-26,"ADS",2,75,48.3,NA,0,0,0,NA,"1994"
"100","ADS005","COEI",1994-05-26,"ADS",3,71.6,49.1,NA,0,0,0,NA,"1994"
"101","ADS005","COEI",1994-05-26,"ADS",4,74.6,49,NA,0,0,0,NA,"1994"
"102","ADS005","COEI",1994-05-26,"ADS",5,73,50.2,NA,0,0,0,NA,"1994"
"103","ADS005","COEI",1994-05-26,"ADS",6,73.5,49,NA,0,0,0,NA,"1994"
"104","ADS005","COEI",1994-05-26,"ADS",7,76,48.3,NA,0,0,0,NA,"1994"
"105","ADS006","COEI",1994-05-26,"ADS",1,74,50,NA,0,0,0,NA,"1994"
"106","ADS006","COEI",1994-05-26,"ADS",2,74.9,49.6,NA,0,0,0,NA,"1994"
"107","ADS006","COEI",1994-05-26,"ADS",3,76,49.2,NA,0,0,0,NA,"1994"
"108","ADS006","COEI",1994-05-26,"ADS",4,74.4,50.3,NA,0,0,0,NA,"1994"
"109","ADS006","COEI",1994-05-26,"ADS",5,72.5,50,NA,0,0,0,NA,"1994"
"110","ADS006","COEI",1994-05-26,"ADS",6,75,50,NA,0,0,0,NA,"1994"
"111","ADS007","COEI",1994-05-26,"ADS",1,77,51.6,NA,0,0,0,NA,"1994"
"112","ADS007","COEI",1994-05-26,"ADS",2,75.2,51.3,NA,0,0,0,NA,"1994"
"113","ADS007","COEI",1994-05-26,"ADS",3,75,50.9,NA,0,0,0,NA,"1994"
"114","ADS007","COEI",1994-05-26,"ADS",4,72.2,52.1,NA,0,0,0,NA,"1994"
"115","ADS007","COEI",1994-05-26,"ADS",5,74.4,52.1,NA,0,0,0,NA,"1994"
"116","ADS007","COEI",1994-05-26,"ADS",6,69.9,50,NA,0,0,0,NA,"1994"
"117","ADS008","SPEI",1994-05-27,"ADS",1,68.1,45.5,NA,0,0,0,NA,"1994"
"118","ADS008","SPEI",1994-05-27,"ADS",2,68,45.5,NA,0,0,0,NA,"1994"
"119","ADS008","SPEI",1994-05-27,"ADS",3,68.4,45.4,NA,0,0,0,NA,"1994"
"120","ADS008","SPEI",1994-05-27,"ADS",4,65.5,46.5,NA,0,0,0,NA,"1994"
"121","ADS008","SPEI",1994-05-27,"ADS",5,68,46.4,NA,0,0,0,NA,"1994"
"122","ADS008","SPEI",1994-05-27,"ADS",6,68.1,46.1,NA,0,0,0,NA,"1994"
"123","ADS010","SPEI",1994-05-27,"ADS",1,67.1,46.3,NA,0,0,0,NA,"1994"
"124","ADS010","SPEI",1994-05-27,"ADS",2,67.2,46.1,NA,0,0,0,NA,"1994"
"125","ADS010","SPEI",1994-05-27,"ADS",3,68,46.3,NA,0,0,0,NA,"1994"
"126","ADS010","SPEI",1994-05-27,"ADS",4,67,46,NA,0,0,0,NA,"1994"
"127","ADS010","SPEI",1994-05-27,"ADS",5,70.3,45.5,NA,0,0,0,NA,"1994"
"128","ADS010","SPEI",1994-05-27,"ADS",6,67.9,46.6,NA,0,0,0,NA,"1994"
"129","ADS009","COEI",1994-05-27,"ADS",1,78.7,48.8,NA,0,0,0,NA,"1994"
"130","ADS009","COEI",1994-05-27,"ADS",2,74.4,50,NA,0,0,0,NA,"1994"
"131","ADS009","COEI",1994-05-27,"ADS",3,75,43.3,NA,0,0,0,NA,"1994"
"132","ADS009","COEI",1994-05-27,"ADS",4,74.5,50,NA,0,0,0,NA,"1994"
"133","TLM019","SPEI",1994-05-28,"TLM",1,72.7,42.6,NA,0,0,0,NA,"1994"
"134","TLM019","SPEI",1994-05-28,"TLM",2,70.6,45.1,NA,0,0,0,NA,"1994"
"135","TLM019","SPEI",1994-05-28,"TLM",3,70.7,45.3,NA,0,0,0,NA,"1994"
"136","TLM019","SPEI",1994-05-28,"TLM",4,70.3,45.3,NA,0,0,0,NA,"1994"
"137","TLM019","SPEI",1994-05-28,"TLM",5,69.7,45.2,NA,0,0,0,NA,"1994"
"138","TLM020","SPEI",1994-05-28,"TLM",1,69.1,45.4,NA,0,0,0,NA,"1994"
"139","TLM020","SPEI",1994-05-28,"TLM",2,69.2,45.3,NA,0,0,0,NA,"1994"
"140","TLM021","SPEI",1994-05-28,"TLM",1,67.1,46.3,NA,0,0,0,NA,"1994"
"141","TLM021","SPEI",1994-05-28,"TLM",2,69.1,46,NA,0,0,0,NA,"1994"
"142","TLM021","SPEI",1994-05-28,"TLM",3,72.8,44.8,NA,0,0,0,NA,"1994"
"143","TLM021","SPEI",1994-05-28,"TLM",4,66.4,46.6,NA,0,0,0,NA,"1994"
"144","TLM021","SPEI",1994-05-28,"TLM",5,64.7,45.5,NA,0,0,0,NA,"1994"
"145","TLM023","SPEI",1994-05-28,"TLM",1,66.7,45.6,NA,0,0,0,NA,"1994"
"146","TLM023","SPEI",1994-05-28,"TLM",2,67.4,47.2,NA,0,0,0,NA,"1994"
"147","TLM023","SPEI",1994-05-28,"TLM",3,67.2,46.2,NA,0,0,0,NA,"1994"
"148","TLM023","SPEI",1994-05-28,"TLM",4,68.4,47.4,NA,0,0,0,NA,"1994"
"149","TLM023","SPEI",1994-05-28,"TLM",5,67.8,47.3,NA,0,0,0,NA,"1994"
"150","TLM026","SPEI",1994-05-28,"TLM",1,72.6,45.3,NA,0,0,0,NA,"1994"
"151","TLM026","SPEI",1994-05-28,"TLM",2,72.7,44.4,NA,0,0,0,NA,"1994"
"152","TLM026","SPEI",1994-05-28,"TLM",3,72,44.8,NA,0,0,0,NA,"1994"
"153","TLM026","SPEI",1994-05-28,"TLM",4,71.1,45.8,NA,0,0,0,NA,"1994"
"154","TLM026","SPEI",1994-05-28,"TLM",5,72.9,45.3,NA,0,0,0,NA,"1994"
"155","TLM018","COEI",1994-05-28,"TLM",1,75,50,"N",0,0,0,1994-06-17,"1994"
"156","TLM018","COEI",1994-05-28,"TLM",2,72.2,49.5,"N",0,0,0,1994-06-17,"1994"
"157","TLM018","COEI",1994-05-28,"TLM",3,73.3,49.5,"N",0,0,0,1994-06-17,"1994"
"158","TLM018","COEI",1994-05-28,"TLM",4,72.7,50,"N",0,0,0,1994-06-17,"1994"
"159","TLM018","COEI",1994-05-28,"TLM",5,75.7,48.7,"N",0,0,0,1994-06-17,"1994"
"160","TLM018","COEI",1994-05-28,"TLM",6,69,48.7,"N",0,0,0,1994-06-17,"1994"
"161","TLM022","COEI",1994-05-28,"TLM",1,75.5,51.6,NA,0,0,0,NA,"1994"
"162","TLM022","COEI",1994-05-28,"TLM",2,75.3,50.4,NA,0,0,0,NA,"1994"
"163","TLM022","COEI",1994-05-28,"TLM",3,76,51.7,NA,0,0,0,NA,"1994"
"164","TLM022","COEI",1994-05-28,"TLM",4,73.7,51.4,NA,0,0,0,NA,"1994"
"165","TLM022","COEI",1994-05-28,"TLM",5,75.9,52.2,NA,0,0,0,NA,"1994"
"166","TLM022","COEI",1994-05-28,"TLM",6,78.6,51.6,NA,0,0,0,NA,"1994"
"167","TLM024","COEI",1994-05-28,"TLM",1,74.6,50.7,NA,0,0,0,NA,"1994"
"168","TLM024","COEI",1994-05-28,"TLM",2,73.8,48.4,NA,0,0,0,NA,"1994"
"169","TLM024","COEI",1994-05-28,"TLM",3,70.4,52.1,NA,0,0,0,NA,"1994"
"170","TLM024","COEI",1994-05-28,"TLM",4,74.7,49,NA,0,0,0,NA,"1994"
"171","TLM024","COEI",1994-05-28,"TLM",5,74.8,51.9,NA,0,0,0,NA,"1994"
